Subject,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
Jan-25,PITCH,Baseline,Baseline_1,1,PEA,745,congruent,B,incorrect,2977
Jan-25,PITCH,Baseline,Baseline_1,2,PEA,482,incongruent,B,correct,3103
Jan-25,PITCH,Baseline,Baseline_1,3,PEA,482,incongruent,B,correct,2092
Jan-25,PITCH,Baseline,Baseline_1,4,PEA,745,congruent,V,correct,1994
Jan-25,PITCH,Baseline,Baseline_1,5,PEA,745,congruent,V,correct,1716
Jan-25,PITCH,Baseline,Baseline_1,6,PEA,482,incongruent,B,correct,1343
Jan-25,PITCH,Baseline,Baseline_1,7,PEA,482,incongruent,B,correct,1340
Jan-25,PITCH,Baseline,Baseline_1,8,PEA,745,congruent,B,incorrect,1835
Jan-25,PITCH,Baseline,Baseline_1,9,PEA,745,congruent,V,correct,1001
Jan-25,PITCH,Baseline,Baseline_1,10,PEA,482,incongruent,B,correct,1196
Jan-25,PITCH,Baseline,Baseline_1,11,PEA,745,congruent,V,correct,1542
Jan-25,PITCH,Baseline,Baseline_1,12,PEA,482,incongruent,B,correct,985
Jan-25,PITCH,Baseline,Baseline_2,1,Indole,745,incongruent,V,correct,1634
Jan-25,PITCH,Baseline,Baseline_2,2,Indole,482,congruent,B,correct,1155
Jan-25,PITCH,Baseline,Baseline_2,3,Indole,745,incongruent,V,correct,1235
Jan-25,PITCH,Baseline,Baseline_2,4,Indole,482,congruent,B,correct,1196
Jan-25,PITCH,Baseline,Baseline_2,5,Indole,482,congruent,B,correct,1486
Jan-25,PITCH,Baseline,Baseline_2,6,Indole,745,incongruent,V,correct,1344
Jan-25,PITCH,Baseline,Baseline_2,7,Indole,482,congruent,B,correct,747
Jan-25,PITCH,Baseline,Baseline_2,8,Indole,745,incongruent,V,correct,1083
Jan-25,PITCH,Baseline,Baseline_2,9,Indole,745,incongruent,V,correct,788
Jan-25,PITCH,Baseline,Baseline_2,10,Indole,482,congruent,B,correct,903
Jan-25,PITCH,Baseline,Baseline_2,11,Indole,745,incongruent,V,correct,1411
Jan-25,PITCH,Baseline,Baseline_2,12,Indole,482,congruent,B,correct,743
Jan-25,PITCH,Filtering,Filtering_1,1,PEA,482,incongruent,B,correct,2314
Jan-25,PITCH,Filtering,Filtering_1,2,PEA,745,congruent,V,correct,758
Jan-25,PITCH,Filtering,Filtering_1,3,Indole,745,incongruent,V,correct,969
Jan-25,PITCH,Filtering,Filtering_1,4,Indole,482,congruent,B,correct,805
Jan-25,PITCH,Filtering,Filtering_1,5,PEA,482,incongruent,B,correct,1122
Jan-25,PITCH,Filtering,Filtering_1,6,Indole,482,congruent,B,correct,1328
Jan-25,PITCH,Filtering,Filtering_1,7,Indole,745,incongruent,V,correct,884
Jan-25,PITCH,Filtering,Filtering_1,8,PEA,745,congruent,V,correct,1115
Jan-25,PITCH,Filtering,Filtering_1,9,PEA,482,incongruent,B,correct,767
Jan-25,PITCH,Filtering,Filtering_1,10,Indole,745,incongruent,V,correct,845
Jan-25,PITCH,Filtering,Filtering_1,11,Indole,482,congruent,B,correct,706
Jan-25,PITCH,Filtering,Filtering_1,12,PEA,745,congruent,V,correct,1103
Jan-25,PITCH,Correlation,Correlation_1,1,PEA,745,congruent,V,correct,1393
Jan-25,PITCH,Correlation,Correlation_1,2,Indole,482,congruent,B,correct,861
Jan-25,PITCH,Correlation,Correlation_1,3,Indole,482,congruent,B,correct,852
Jan-25,PITCH,Correlation,Correlation_1,4,PEA,745,congruent,V,correct,919
Jan-25,PITCH,Correlation,Correlation_1,5,Indole,482,congruent,B,correct,1120
Jan-25,PITCH,Correlation,Correlation_1,6,PEA,745,congruent,V,correct,1566
Jan-25,PITCH,Correlation,Correlation_1,7,PEA,745,congruent,V,correct,850
Jan-25,PITCH,Correlation,Correlation_1,8,Indole,482,congruent,B,correct,635
Jan-25,PITCH,Correlation,Correlation_1,9,Indole,482,congruent,B,correct,838
Jan-25,PITCH,Correlation,Correlation_1,10,PEA,745,congruent,V,correct,754
Jan-25,PITCH,Correlation,Correlation_1,11,PEA,745,congruent,V,correct,1275
Jan-25,PITCH,Correlation,Correlation_1,12,Indole,482,congruent,B,correct,544
Jan-25,PITCH,Correlation,Correlation_2,1,Indole,745,incongruent,V,correct,1241
Jan-25,PITCH,Correlation,Correlation_2,2,PEA,482,incongruent,B,correct,706
Jan-25,PITCH,Correlation,Correlation_2,3,Indole,745,incongruent,V,correct,805
Jan-25,PITCH,Correlation,Correlation_2,4,PEA,482,incongruent,B,correct,848
Jan-25,PITCH,Correlation,Correlation_2,5,PEA,482,incongruent,B,correct,759
Jan-25,PITCH,Correlation,Correlation_2,6,Indole,745,incongruent,V,correct,824
Jan-25,PITCH,Correlation,Correlation_2,7,Indole,745,incongruent,V,correct,1064
Jan-25,PITCH,Correlation,Correlation_2,8,PEA,482,incongruent,B,correct,1037
Jan-25,PITCH,Correlation,Correlation_2,9,PEA,482,incongruent,B,correct,970
Jan-25,PITCH,Correlation,Correlation_2,10,Indole,745,incongruent,V,correct,499
Jan-25,PITCH,Correlation,Correlation_2,11,Indole,745,incongruent,V,correct,711
Jan-25,PITCH,Correlation,Correlation_2,12,PEA,482,incongruent,B,correct,669
